rank,nome,prov,pop,ele_m,score,salute,mobilita,istruzione,quotidiano,rischio,vitalita,m_er,m_pharm,m_doc,m_vet,m_rail,m_mjunc,m_kinder,m_school,m_upper,m_super,m_post,n_retail5,flood_p3,flood_p2,land_p34,oldindex,pct65,age_mean,pop_trend,tour_units,tour_p1000,income,coast,sea_km,beach_km,lat,lon,istat
289,Tizzano Val Parma,PR,2198,716.0,77.3,84.0,68.4,65.4,102.2,79.5,105.8,50.2,2.0,30.0,30.1,50.5,53.4,30.6,30.7,32.1,2.0,2.2,4,0.52,0.95,32.83,225.0,27.1,47.4,4.07,3,1.4,21478.0,0,162.6,143.5,44.5137582,10.2022112,034039
289,Travo,PC,2229,344.0,77.3,80.4,69.9,78.5,81.3,81.5,101.4,21.7,4.3,44.1,38.7,47.9,52.2,20.7,20.1,31.1,17.0,9.9,2,2.66,3.61,29.61,391.0,31.9,51.7,5.49,3,1.3,24843.0,0,214.8,187.4,44.8596129,9.5190347,033043
291,Lizzano in Belvedere,BO,2257,926.0,77.0,89.5,72.3,66.8,83.6,76.6,101.1,20.5,1.7,4.8,61.0,23.3,66.1,44.1,17.2,51.7,20.9,1.7,8,0.26,0.78,36.42,337.0,31.2,50.2,3.63,17,7.5,20851.0,0,117.7,97.1,44.1655079,10.8705306,037033
292,Ventasso,RE,3846,757.0,76.7,87.4,69.9,65.3,89.9,57.6,79.6,36.3,10.2,9.8,35.7,51.6,47.4,41.2,3.0,77.3,15.0,2.5,4,0.18,0.27,56.96,467.0,36.7,53.2,-7.15,21,5.5,19984.0,0,159.8,145.5,44.3544122,10.2817967,035046
293,Montecopiolo,RN,1042,995.0,76.3,82.9,60.7,77.4,90.3,57.7,97.8,20.3,14.8,20.4,40.2,69.8,46.8,19.7,2.1,67.3,14.7,2.0,2,0.0,0.0,65.7,281.0,31.9,50.6,,2,1.9,17056.0,0,30.7,30.4,43.8480761,12.3597481,099030
294,Borgo Val di Taro,PR,6732,571.0,75.5,58.2,99.1,64.9,96.5,82.0,93.9,87.1,4.8,45.9,76.0,3.8,20.4,36.6,28.7,29.1,4.9,6.5,8,17.68,19.0,23.95,294.0,29.9,49.1,-1.97,8,1.2,20720.0,0,194.3,174.3,44.4865927,9.8038776,034006
295,Bardi,PR,1957,553.0,75.1,68.9,78.0,79.9,74.5,75.2,74.9,60.5,7.5,25.8,79.8,34.3,45.0,7.8,8.0,63.5,7.6,24.5,7,1.16,1.33,37.93,504.0,38.9,54.5,-9.02,7,3.6,17147.0,0,201.6,178.6,44.6164602,9.6919771,034002
296,Bobbio,PC,3322,647.0,74.9,77.2,47.7,100.2,95.7,90.3,79.2,6.1,6.6,50.6,41.1,82.5,86.6,7.2,6.3,6.3,5.4,6.5,5,1.43,2.02,17.3,476.0,36.1,53.6,-7.18,11,3.3,21841.0,0,225.3,198.9,44.7911243,9.3829507,033005
297,Corte Brugnatella,PC,521,483.0,74.8,82.1,53.4,89.2,84.7,87.7,66.3,15.3,14.4,26.3,40.2,70.9,71.6,14.3,14.4,15.1,15.6,7.8,1,11.48,11.48,17.38,683.0,39.3,55.2,-11.39,1,1.9,18465.0,0,226.5,201.4,44.7073465,9.3697297,033017
298,Berceto,PR,1947,712.0,74.7,66.7,99.8,58.4,87.9,58.5,85.9,94.8,7.6,19.6,70.0,12.0,10.0,60.4,21.7,52.7,8.1,11.8,6,4.01,4.43,55.31,499.0,37.6,53.6,-2.84,11,5.6,21764.0,0,179.7,159.3,44.5354487,9.9799191,034004
